noise_multiplier,node,run,epoch,grad_slope,acc_variance,val_acc
0.5,ml2,3,12,0.065667,2.383e-05,0.7334
0.5,ml2,3,13,3.435665,2.438e-05,0.7187
0.5,ml2,3,14,1.558259,4.045e-05,0.7158
0.5,ml2,3,15,1.001051,0.00012718,0.7468
0.5,ml2,3,16,2.023087,0.00014674,0.7408
0.5,ml2,3,17,0.215111,0.00015321,0.7375
0.5,ml2,3,18,0.609763,0.00014212,0.7495
0.5,ml2,3,19,1.96565,5.426e-05,0.7587
0.5,ml2,3,20,1.426474,6.862e-05,0.7561
0.5,ml2,3,21,1.71515,9.093e-05,0.7657
0.5,ml2,3,22,0.401021,4.293e-05,0.7675
0.5,ml2,3,23,0.80271,2.791e-05,0.7699
0.5,ml2,3,24,0.429364,2.35e-05,0.7679
0.5,ml2,3,25,1.311203,5.39e-06,0.7725
0.5,ml2,3,26,1.082789,1.773e-05,0.779
0.5,ml2,3,27,2.566401,1.454e-05,0.7705
0.5,ml2,3,28,0.255044,1.45e-05,0.775
0.5,ml2,3,29,0.04953,2.866e-05,0.7856
0.5,ml2,3,30,0.046855,2.728e-05,0.7816
0.5,ml2,3,31,1.366156,2.796e-05,0.7804
0.5,ml2,3,32,1.348617,1.191e-05,0.779
0.5,ml2,3,33,0.213872,1.302e-05,0.7745
0.5,ml2,3,34,0.007418,3.048e-05,0.7913
0.5,ml2,3,35,0.539737,3.181e-05,0.7842
0.5,ml2,3,36,1.25242,6.655e-05,0.7971
0.5,ml2,3,37,1.294419,6.546e-05,0.7941
0.5,ml2,3,38,0.534426,2.757e-05,0.7993
0.5,ml2,3,39,0.076985,4.088e-05,0.8031
0.5,ml2,3,40,0.745789,8.66e-06,0.7979
0.5,ml2,3,41,2.307961,8.57e-06,0.7973
0.5,ml2,3,42,0.366898,1.356e-05,0.8071
0.5,ml2,3,43,0.398059,1.681e-05,0.8063
0.5,ml2,3,44,0.090054,1.715e-05,0.8039
0.5,ml2,3,45,0.601822,1.366e-05,0.807
0.5,ml2,3,46,1.570939,2.13e-06,0.8083
0.5,ml2,3,47,0.113392,2.8e-06,0.8042
0.5,ml2,3,48,0.546378,5.27e-06,0.8019
0.5,ml2,3,49,0.627236,4.93e-06,0.8053
0.5,ml2,3,50,0.179868,1.742e-05,0.814
1,ml2,1,6,2.021823,0.00117502,0.6713
1,ml2,1,7,1.444928,0.00029088,0.6626
1,ml2,1,8,0.718949,0.00014319,0.6889
1,ml2,1,9,1.313856,0.00013451,0.6901
1,ml2,1,10,0.950226,0.00015179,0.6945
1,ml2,1,11,0.470278,0.00015758,0.6981
1,ml2,1,12,0.397148,4.479e-05,0.7075
1,ml2,1,13,1.090668,5.883e-05,0.7103
1,ml2,1,14,0.12603,7.739e-05,0.7191
1,ml2,1,15,1.138245,5.687e-05,0.7001
1,ml2,1,16,0.994588,5.687e-05,0.7204
1,ml2,1,17,1.305368,8.714e-05,0.7271
1,ml2,1,18,0.533811,8.703e-05,0.723
1,ml2,1,19,0.004488,0.00012151,0.7324
