condition,noise,run,node,epoch,grad_slope,grad_thresh,grad_pass,acc_variance,var_thresh,var_pass,local_converged,global_flag_value,log_reported_node,val_accuracy,source_file
full_dp,0.5,1,ml2,3,,,,,,,,,,0.6592,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,4,,,,,,,,,,0.6798,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,5,,,,,,,,,,0.6844,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,6,,,,,,,,,,0.6935,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,7,,,,,,,,,,0.6904,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,8,,,,,,,,,,0.7129,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,9,,,,,,,,,,0.7044,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,10,,,,,,,,,,0.7159,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,11,,,,,,,,,,0.7282,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,12,,,,,,,,,,0.7180,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,13,,,,,,,,,,0.7367,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,14,,,,,,,,,,0.7205,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,15,,,,,,,,,,0.7450,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,16,,,,,,,,,,0.7335,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,17,,,,,,,,,,0.7334,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,18,,,,,,,,,,0.7434,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,19,,,,,,,,,,0.7459,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,20,,,,,,,,,,0.7598,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,21,,,,,,,,,,0.7645,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,22,,,,,,,,,,0.7626,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,23,,,,,,,,,,0.7670,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,24,,,,,,,,,,0.7608,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,25,,,,,,,,,,0.7714,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,26,,,,,,,,,,0.7605,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,27,,,,,,,,,,0.7621,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,28,,,,,,,,,,0.7756,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,29,,,,,,,,,,0.7771,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,30,,,,,,,,,,0.7783,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,31,,,,,,,,,,0.7744,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,32,,,,,,,,,,0.7766,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,33,,,,,,,,,,0.7751,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,34,,,,,,,,,,0.7854,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,35,,,,,,,,,,0.7898,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,36,,,,,,,,,,0.7879,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,37,,,,,,,,,,0.7902,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,38,,,,,,,,,,0.7925,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,39,,,,,,,,,,0.7985,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,40,,,,,,,,,,0.7882,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,41,,,,,,,,,,0.7953,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,42,,,,,,,,,,0.7926,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,43,,,,,,,,,,0.8007,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,44,,,,,,,,,,0.7926,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,45,,,,,,,,,,0.7964,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,46,,,,,,,,,,0.7998,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,47,,,,,,,,,,0.7971,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,48,,,,,,,,,,0.7952,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,49,,,,,,,,,,0.7982,exp_full_dp_0.5_ml2_run1.log
full_dp,0.5,1,ml2,50,,,,,,,,,,0.8037,exp_full_dp_0.5_ml2_run1.log
full_dp,1.0,1,ml1,1,,,,,,,,,,0.5490,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,2,,,,,,,,,,0.5862,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,3,,,,,,,,,,0.6319,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,4,,,,,,,,,,0.6444,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,5,,,,,,,,,,0.6531,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,6,,,,,,,,,,0.6567,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,7,,,,,,,,,,0.6687,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,8,,,,,,,,,,0.6738,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,9,,,,,,,,,,0.6687,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,10,,,,,,,,,,0.6785,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,11,,,,,,,,,,0.7072,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,12,,,,,,,,,,0.6594,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,13,,,,,,,,,,0.6995,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,14,,,,,,,,,,0.6881,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,15,,,,,,,,,,0.7143,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,16,,,,,,,,,,0.7135,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,17,,,,,,,,,,0.7093,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,18,,,,,,,,,,0.7049,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,19,,,,,,,,,,0.7283,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,20,,,,,,,,,,0.7266,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,21,,,,,,,,,,0.7227,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,22,,,,,,,,,,0.7307,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,23,,,,,,,,,,0.7296,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,24,,,,,,,,,,0.7358,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,25,,,,,,,,,,0.7391,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,26,,,,,,,,,,0.7407,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,27,,,,,,,,,,0.7485,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,28,,,,,,,,,,0.7435,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,29,,,,,,,,,,0.7492,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,30,,,,,,,,,,0.7339,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,31,,,,,,,,,,0.7434,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,32,,,,,,,,,,0.7472,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,33,,,,,,,,,,0.7489,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,34,,,,,,,,,,0.7527,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,35,,,,,,,,,,0.7555,exp_full_dp_1.0_ml1_run1.log
full_dp,1.0,1,ml1,36,,,,,,,,,,0.7591,exp_full_dp_1.0_ml1_run1.log
