grad_percentile,var_percentile,noise_levels_covered,noise_levels_fully_reliable,avg_quorum_epoch,avg_acc_gap,max_acc_gap,min_quorum_epoch,max_quorum_epoch
20,30,3,3,36.666666666666664,0.015122222222222148,0.018266666666666542,34.333333333333336,38.333333333333336
20,35,3,3,33.77777777777778,0.015488888888888849,0.015699999999999936,30.666666666666668,36.333333333333336
25,30,3,3,33.22222222222222,0.018111111111111078,0.022800000000000042,32.0,35.0
25,35,3,3,31.777777777777775,0.01879444444444441,0.022800000000000042,30.666666666666668,32.666666666666664
20,45,3,3,31.33333333333334,0.01883888888888881,0.02069999999999994,27.666666666666668,36.333333333333336
20,40,3,3,31.33333333333334,0.01883888888888881,0.02069999999999994,27.666666666666668,36.333333333333336
35,30,3,3,32.55555555555556,0.018899999999999955,0.02516666666666667,30.666666666666668,35.0
30,30,3,3,32.55555555555556,0.018899999999999955,0.02516666666666667,30.666666666666668,35.0
30,35,3,3,30.555555555555557,0.020016666666666644,0.02646666666666675,29.0,32.0
35,35,3,3,30.555555555555557,0.020016666666666644,0.02646666666666675,29.0,32.0
45,20,3,3,33.111111111111114,0.020094444444444415,0.026533333333333187,32.333333333333336,34.0
45,25,3,3,33.111111111111114,0.020094444444444415,0.026533333333333187,32.333333333333336,34.0
50,25,3,3,32.333333333333336,0.02062777777777769,0.026533333333333187,30.666666666666668,34.0
50,20,3,3,32.333333333333336,0.02062777777777769,0.026533333333333187,30.666666666666668,34.0
40,30,3,3,31.555555555555557,0.020866666666666627,0.031066666666666687,27.666666666666668,35.0
40,35,3,3,29.555555555555557,0.021983333333333244,0.032366666666666544,26.0,32.0
45,30,3,3,30.666666666666668,0.02244444444444449,0.031066666666666687,27.666666666666668,33.0
25,40,3,3,29.555555555555557,0.02248888888888882,0.02454999999999985,27.666666666666668,32.666666666666664
25,45,3,3,29.555555555555557,0.02248888888888882,0.02454999999999985,27.666666666666668,32.666666666666664
50,30,3,3,29.88888888888889,0.022977777777777764,0.031066666666666687,27.666666666666668,31.333333333333332
50,35,3,3,28.666666666666668,0.02356111111111107,0.032366666666666544,26.0,31.333333333333332
45,35,3,3,28.666666666666668,0.02356111111111107,0.032366666666666544,26.0,31.333333333333332
30,40,3,3,28.333333333333332,0.023711111111111054,0.02646666666666675,27.666666666666668,29.0
35,40,3,3,28.333333333333332,0.023711111111111054,0.02646666666666675,27.666666666666668,29.0
40,40,3,3,27.11111111111111,0.026527777777777706,0.03491666666666671,25.333333333333332,28.333333333333332
45,40,3,3,27.0,0.02663888888888888,0.03491666666666671,25.333333333333332,28.0
50,40,3,3,27.0,0.02663888888888888,0.03491666666666671,25.333333333333332,28.0
30,45,3,3,27.333333333333332,0.026999999999999986,0.029983333333333362,24.666666666666668,29.0
20,50,3,3,27.222222222222225,0.02795555555555551,0.03794999999999993,25.666666666666668,30.0
25,50,3,3,26.666666666666668,0.029238888888888814,0.03794999999999993,25.666666666666668,28.333333333333332
35,45,3,3,26.0,0.029611111111111144,0.03238333333333332,24.333333333333332,29.0
40,45,3,3,24.777777777777775,0.0324277777777778,0.03491666666666671,24.333333333333332,25.333333333333332
45,45,3,3,24.666666666666668,0.032538888888888895,0.03491666666666671,24.0,25.333333333333332
50,45,3,3,24.666666666666668,0.032538888888888895,0.03491666666666671,24.0,25.333333333333332
30,50,3,3,25.0,0.033316666666666585,0.04031666666666667,23.0,28.333333333333332
35,50,3,3,23.666666666666668,0.035927777777777746,0.04031666666666667,23.0,24.333333333333332
40,50,3,3,21.333333333333332,0.03947777777777772,0.048766666666666736,20.0,23.0
45,50,3,3,21.222222222222225,0.03958888888888882,0.048766666666666736,20.0,23.0
50,50,3,3,21.222222222222225,0.03958888888888882,0.048766666666666736,20.0,23.0
