noise_multiplier,node,run,epoch,grad_slope,acc_variance,val_acc
0.5,ml1,1,6,1.032788,0.00068525,0.7119
0.5,ml1,1,7,1.463508,0.00042893,0.7185
0.5,ml1,1,8,0.533076,0.00031698,0.7228
0.5,ml1,1,9,0.324898,0.00029063,0.7371
0.5,ml1,1,10,0.936956,8.408e-05,0.7325
0.5,ml1,1,11,1.33022,4.418e-05,0.7267
0.5,ml1,1,12,0.149128,4.894e-05,0.7423
0.5,ml1,1,13,0.991649,3.763e-05,0.743
0.5,ml1,1,14,0.515351,6.567e-05,0.7494
0.5,ml1,1,15,1.325024,5.581e-05,0.7403
0.5,ml1,1,16,1.832087,1.423e-05,0.7382
0.5,ml1,1,17,1.106578,2.542e-05,0.7511
0.5,ml1,1,18,0.632327,5.697e-05,0.7589
0.5,ml1,1,19,0.846287,5.818e-05,0.7507
0.5,ml1,1,20,0.146834,6.653e-05,0.7616
0.5,ml1,1,21,1.437502,1.984e-05,0.7524
0.5,ml1,1,22,1.837534,2.468e-05,0.7632
0.5,ml1,1,23,0.095758,4.389e-05,0.7681
0.5,ml1,1,24,1.787628,4.764e-05,0.773
0.5,ml1,1,25,0.294063,4.957e-05,0.7685
0.5,ml1,1,26,0.79013,1.033e-05,0.7703
0.5,ml1,1,27,0.28436,8.8e-06,0.776
0.5,ml1,1,28,0.669589,6.68e-06,0.7707
0.5,ml1,1,29,0.866234,2.047e-05,0.7808
0.5,ml1,1,30,0.646873,1.492e-05,0.7736
0.5,ml1,1,31,0.263893,1.295e-05,0.7788
0.5,ml1,1,32,0.802551,1.441e-05,0.779
0.5,ml1,1,33,0.131095,1.069e-05,0.7836
0.5,ml1,1,34,0.623252,2.371e-05,0.788
0.5,ml1,1,35,0.297093,1.449e-05,0.7867
0.5,ml1,1,36,0.135904,2.221e-05,0.7932
0.5,ml1,1,37,0.200768,1.684e-05,0.7946
0.5,ml1,1,38,0.65275,1.597e-05,0.784
0.5,ml1,1,39,0.216896,2.401e-05,0.7969
0.5,ml1,1,40,0.718992,2.121e-05,0.7957
0.5,ml1,1,41,0.113015,2.551e-05,0.798
0.5,ml1,1,42,0.59234,2.649e-05,0.7963
0.5,ml1,1,43,0.029217,1.08e-06,0.7985
0.5,ml1,1,44,1.536546,3.86e-06,0.8013
0.5,ml1,1,45,0.558109,1.226e-05,0.8063
0.5,ml1,1,46,0.00996,1.281e-05,0.8038
0.5,ml1,1,47,0.743519,7.51e-06,0.8047
0.5,ml1,1,48,0.696054,3.18e-06,0.8059
0.5,ml1,1,49,1.081613,1.34e-06,0.8033
0.5,ml1,1,50,0.253067,1.68e-06,0.8068
0.5,ml1,2,6,1.930508,0.00027847,0.7034
0.5,ml1,2,7,1.157835,0.00021758,0.7053
0.5,ml1,2,8,0.182703,0.00023716,0.7254
0.5,ml1,2,9,2.426022,0.00022836,0.7164
0.5,ml1,2,10,2.35838,0.0001072,0.7292
0.5,ml1,2,11,0.528839,0.0001222,0.7375
0.5,ml1,2,12,0.819162,4.658e-05,0.7252
0.5,ml1,2,13,1.088832,7.989e-05,0.7416
0.5,ml1,2,14,2.152847,7.643e-05,0.7497
0.5,ml1,2,15,1.599509,6.643e-05,0.7336
0.5,ml1,2,16,1.480306,7.177e-05,0.7433
0.5,ml1,2,17,0.20843,7.562e-05,0.7596
0.5,ml1,2,18,0.731267,8.951e-05,0.7571
0.5,ml1,2,19,0.238825,0.00013071,0.7645
0.5,ml1,2,20,1.239058,5.114e-05,0.7593
0.5,ml1,2,21,0.519742,9.57e-06,0.7553
0.5,ml1,2,22,0.596746,2.263e-05,0.7681
0.5,ml1,2,23,0.03438,3.177e-05,0.7707
0.5,ml1,2,24,1.071105,3.199e-05,0.765
0.5,ml1,2,25,0.77886,4.141e-05,0.7742
0.5,ml1,2,26,1.291128,1.453e-05,0.7753
0.5,ml1,2,27,0.718614,1.36e-05,0.7734
0.5,ml1,2,28,0.261422,2.608e-05,0.7809
0.5,ml1,2,29,0.729095,2.861e-05,0.7876
0.5,ml1,2,30,1.773004,2.458e-05,0.7802
0.5,ml1,2,31,0.581824,2.555e-05,0.7863
0.5,ml1,2,32,0.001071,8.66e-06,0.785
0.5,ml1,2,33,0.42558,1.987e-05,0.794
0.5,ml1,2,34,0.667935,1.967e-05,0.7859
0.5,ml1,2,35,1.632882,2.31e-05,0.7967
0.5,ml1,2,36,0.278178,3.117e-05,0.7986
0.5,ml1,2,37,0.011575,2.188e-05,0.7982
0.5,ml1,2,38,0.428741,3.064e-05,0.7874
0.5,ml1,2,39,0.224741,1.81e-05,0.7923
0.5,ml1,2,40,0.208163,2.574e-05,0.8015
0.5,ml1,2,41,1.875663,2.915e-05,0.7889
0.5,ml1,2,42,0.322157,4.733e-05,0.8046
0.5,ml1,2,43,0.998901,4.629e-05,0.8059
0.5,ml1,2,44,0.403679,4.215e-05,0.8063
0.5,ml1,2,45,0.660445,4.216e-05,0.8017
0.5,ml1,2,46,1.424211,2.64e-06,0.8041
0.5,ml1,2,47,0.952396,4.95e-06,0.8007
0.5,ml1,2,48,0.617879,9.54e-06,0.8092
0.5,ml1,2,49,0.202982,2.182e-05,0.813
0.5,ml1,2,50,0.115737,1.999e-05,0.8105
0.5,ml1,3,6,1.793625,0.00022658,0.706
0.5,ml1,3,7,1.567596,0.00048399,0.7219
0.5,ml1,3,8,0.295428,0.00035504,0.7161
0.5,ml1,3,9,1.634262,0.00026091,0.7212
0.5,ml1,3,10,1.023118,3.927e-05,0.7229
0.5,ml1,3,11,0.030556,2.049e-05,0.7302
0.5,ml1,3,12,0.212225,6.345e-05,0.739
0.5,ml1,3,13,0.038946,6.816e-05,0.7417
0.5,ml1,3,14,0.76627,5.504e-05,0.7417
0.5,ml1,3,15,0.387916,2.601e-05,0.7453
0.5,ml1,3,16,2.002166,1.564e-05,0.7334
0.5,ml1,3,17,0.689531,2.469e-05,0.7482
0.5,ml1,3,18,0.19858,4.419e-05,0.7532
0.5,ml1,3,19,1.104088,5.998e-05,0.7555
0.5,ml1,3,20,0.748693,9.153e-05,0.7618
0.5,ml1,3,21,0.949394,2.511e-05,0.7608
0.5,ml1,3,22,1.063367,2.921e-05,0.7687
0.5,ml1,3,23,0.842317,1.773e-05,0.7624
0.5,ml1,3,24,0.198138,1.524e-05,0.7703
0.5,ml1,3,25,0.203023,1.885e-05,0.7716
0.5,ml1,3,26,0.085351,1.77e-05,0.7752
0.5,ml1,3,27,0.690962,1.807e-05,0.7718
0.5,ml1,3,28,0.074523,1.358e-05,0.7805
0.5,ml1,3,29,0.402768,1.896e-05,0.7821
0.5,ml1,3,30,1.69987,2.833e-05,0.787
0.5,ml1,3,31,0.313868,2.621e-05,0.7767
0.5,ml1,3,32,0.648136,3.002e-05,0.7925
0.5,ml1,3,33,0.204638,3.022e-05,0.7888
0.5,ml1,3,34,0.621966,2.835e-05,0.7886
0.5,ml1,3,35,1.51156,2.84e-05,0.786
0.5,ml1,3,36,0.162293,4.41e-06,0.7881
0.5,ml1,3,37,1.302404,1.181e-05,0.7961
0.5,ml1,3,38,1.122681,2.117e-05,0.7974
0.5,ml1,3,39,0.52423,4.171e-05,0.8037
0.5,ml1,3,40,0.486878,2.465e-05,0.7962
0.5,ml1,3,41,0.001505,1.927e-05,0.8068
0.5,ml1,3,42,0.344853,1.614e-05,0.8032
0.5,ml1,3,43,0.759556,1.436e-05,0.8063
0.5,ml1,3,44,0.202021,1.451e-05,0.802
0.5,ml1,3,45,0.475726,6.35e-06,0.8002
0.5,ml1,3,46,0.719532,5.88e-06,0.8064
0.5,ml1,3,47,2.317477,5.442e-05,0.7863
0.5,ml1,3,48,1.77936,4.904e-05,0.8036
0.5,ml1,3,49,0.207746,6.461e-05,0.8094
0.5,ml1,3,50,0.490476,6.52e-05,0.8037
1,ml1,1,6,2.003925,0.00138058,0.6776
1,ml1,1,7,1.446107,0.00049522,0.6774
1,ml1,1,8,1.074068,0.00037477,0.6906
1,ml1,1,9,0.271596,6.318e-05,0.6855
1,ml1,1,10,3.088936,2.487e-05,0.6829
1,ml1,1,11,0.848001,7.526e-05,0.703
1,ml1,1,12,0.689518,0.00013318,0.7136
1,ml1,1,13,1.869675,0.00012875,0.6983
1,ml1,1,14,1.280292,0.00010011,0.7034
1,ml1,1,15,1.944118,5.335e-05,0.7179
1,ml1,1,16,0.142183,0.00013571,0.7316
1,ml1,1,17,0.322784,0.00017709,0.7289
1,ml1,1,18,0.774609,0.00010747,0.7279
1,ml1,1,19,0.194266,2.255e-05,0.7291
1,ml1,1,20,0.005218,1.128e-05,0.7372
1,ml1,1,21,0.604653,1.228e-05,0.7334
